Station Name,Start Line,Start Code,End Line,End Code,Transfer time in seconds
Jurong East,NSL,NS1,EWL,EW24,10
Jurong East,EWL,EW24,NSL,NS1,10
Choa Chu Kang,NSL,NS4,BPLRT,BP1,110
Choa Chu Kang,BPLRT,BP1,NSL,NS4,100
Woodlands,NSL,NS9,TEL,TE2,260
Woodlands,TEL,TE2,NSL,NS9,230
Bishan,NSL,NS17,CCL,CC15,150
Bishan,CCL,CC15,NSL,NS17,150
Newton,NSL,NS21,DTL,DT11,220
Newton,DTL,DT11,NSL,NS21,200
Orchard,NSL,NS22,TEL,TE14,190
Orchard,TEL,TE14,NSL,NS22,190
Dhoby Ghaut,NSL,NS24,NEL,NE6,200
Dhoby Ghaut,NEL,NE6,NSL,NS24,190
Dhoby Ghaut,NSL,NS24,CCL,CC1,100
Dhoby Ghaut,CCL,CC1,NSL,NS24,110
Dhoby Ghaut,NEL,NE6,CCL,CC1,110
Dhoby Ghaut,CCL,CC1,NEL,NE6,120
City Hall,NSL,NS25,EWL,EW13,30
City Hall,EWL,EW13,NSL,NS25,30
Raffles Place,NSL,NS26,EWL,EW14,30
Raffles Place,EWL,EW14,NSL,NS26,30
Marina Bay,NSL,NS27,CCL,CE2,190
Marina Bay,CCL,CE2,NSL,NS27,200
Marina Bay,NSL,NS27,TEL,TE20,310
Marina Bay,TEL,TE20,NSL,NS27,310
Marina Bay,CCL,CE2,TEL,TE20,220
Marina Bay,TEL,TE20,CCL,CE2,220
Tampines,EWL,EW2,DTL,DT32,380
Tampines,DTL,DT32,EWL,EW2,360
Paya Lebar,EWL,EW8,CCL,CC9,160
Paya Lebar,CCL,CC9,EWL,EW8,160
Bugis,EWL,EW12,DTL,DT14,240
Bugis,DTL,DT14,EWL,EW12,230
Outram Park,EWL,EW16,NEL,NE3,170
Outram Park,NEL,NE3,EWL,EW16,150
Outram Park,EWL,EW16,TEL,TE17,110
Outram Park,TEL,TE17,EWL,EW16,120
Outram Park,NEL,NE3,TEL,TE17,210
Outram Park,TEL,TE17,NEL,NE3,210
Buona Vista,EWL,EW21,CCL,CC22,170
Buona Vista,CCL,CC22,EWL,EW21,190
Expo,EWL,CG1,DTL,DT35,170
Expo,DTL,DT35,EWL,CG1,180
Tanah Merah,EWL,CG,EWL,EW4,10
Tanah Merah,EWL,EW4,EWL,CG,10
Harbourfront,NEL,NE1,CCL,CC29,110
Harbourfront,CCL,CC29,NEL,NE1,120
Chinatown,NEL,NE4,DTL,DT19,100
Chinatown,DTL,DT19,NEL,NE4,50
Little India,NEL,NE7,DTL,DT12,190
Little India,DTL,DT12,NEL,NE7,180
Serangoon,NEL,NE12,CCL,CC13,160
Serangoon,CCL,CC13,NEL,NE12,190
Sengkang,NEL,NE16,SKLRT,STC,110
Sengkang,SKLRT,STC,NEL,NE16,100
Punggol,NEL,NE17,PGLRT,PTC,90
Punggol,PGLRT,PTC,NEL,NE17,100
Promenade,CCL,CC4,DTL,DT15,90
Promenade,DTL,DT15,CCL,CC4,90
Macpherson,CCL,CC10,DTL,DT26,70
Macpherson,DTL,DT26,CCL,CC10,50
Caldecott,CCL,CC17,TEL,TE9,190
Caldecott,TEL,TE9,CCL,CC17,210
Botanic Gardens,CCL,CC19,DTL,DT9,190
Botanic Gardens,DTL,DT9,CCL,CC19,190
Bayfront,CCL,CE1,DTL,DT16,30
Bayfront,DTL,DT16,CCL,CE1,30
Bukit Panjang,DTL,DT1,BPLRT,BP6,270
Bukit Panjang,BPLRT,BP6,DTL,DT1,270
Stevens,DTL,DT10,TEL,TE11,110
Stevens,TEL,TE11,DTL,DT10,100
